Fecha,Temperatura
2024-05-20,9.2
2024-05-21,9.9
2024-05-22,9.6
2024-05-23,8.9
2024-05-24,8.1
2024-05-25,10.4
2024-05-26,11.4
2024-05-27,11.5
2024-05-28,10.9
2024-05-29,10.4
2024-05-30,11.0
2024-05-31,8.1
2024-06-01,7.6
2024-06-02,8.8
2024-06-03,9.2
2024-06-04,10.5
2024-06-05,12.1
2024-06-06,12.3
2024-06-07,11.6
2024-06-08,12.6
2024-06-09,11.3
2024-06-10,10.9
2024-06-11,11.7
2024-06-12,10.5
2024-06-13,11.8
2024-06-14,9.3
2024-06-15,8.4
2024-06-16,8.4
2024-06-17,8.6
2024-06-18,6.6
2024-06-19,5.6
2024-06-20,8.2
2024-06-21,9.2
2024-06-22,7.9
2024-06-23,7.9
2024-06-24,8.9
2024-06-25,7.3
2024-06-26,11.6
2024-06-27,7.8
2024-06-28,7.8
2024-06-29,7.0
2024-06-30,8.2
2024-07-01,6.8
2024-07-02,8.3
2024-07-03,6.3
2024-07-04,6.1
2024-07-05,5.6
2024-07-06,6.5
2024-07-07,8.6
2024-07-08,8.0
2024-07-09,8.1
2024-07-10,8.8
2024-07-11,9.2
2024-07-12,7.7
2024-07-13,9.3
2024-07-14,7.2
2024-07-15,6.4
2024-07-16,9.2
2024-07-17,10.3
2024-07-18,7.1
2024-07-19,8.3
2024-07-20,6.3
2024-07-21,11.7
2024-07-22,8.4
2024-07-23,8.4
2024-07-24,9.5
2024-07-25,9.1
2024-07-26,9.0
2024-07-27,7.5
2024-07-28,7.0
2024-07-29,8.3
2024-07-30,9.6
2024-07-31,10.7
2024-08-01,9.9
2024-08-02,10.2
2024-08-03,8.6
2024-08-04,8.7
2024-08-05,8.4
2024-08-06,8.3
2024-08-07,10.0
2024-08-08,8.3
2024-08-09,9.2
2024-08-10,9.3
2024-08-11,9.9
2024-08-12,10.7
2024-08-13,9.8
2024-08-14,10.9
2024-08-15,10.6
2024-08-16,8.3
2024-08-17,8.3
2024-08-18,8.7
2024-08-19,12.7
2024-08-20,12.2
2024-08-21,9.7
2024-08-22,9.3
2024-08-23,8.5
2024-08-24,8.5
2024-08-25,9.2
2024-08-26,9.8
2024-08-27,9.4
2024-08-28,12.4
2024-08-29,14.5
2024-08-30,15.2
2024-08-31,11.2
2024-09-01,10.2
2024-09-02,9.6
2024-09-03,9.1
2024-09-04,7.8
2024-09-05,11.9
2024-09-06,10.9
2024-09-07,9.3
2024-09-08,11.8
2024-09-09,7.7
2024-09-10,8.4
2024-09-11,10.1
2024-09-12,10.4
2024-09-13,11.9
2024-09-14,9.7
2024-09-15,11.8
2024-09-16,13.6
2024-09-17,9.6
2024-09-18,12.1
2024-09-19,11.7
2024-09-20,9.1
2024-09-21,11.0
2024-09-22,10.0
2024-09-23,8.9
2024-09-24,9.8
2024-09-25,10.0
2024-09-26,11.4
2024-09-27,10.9
2024-09-28,13.1
2024-09-29,11.3
2024-09-30,8.6
2024-10-01,9.3
2024-10-02,10.9
2024-10-03,10.8
2024-10-04,9.7
2024-10-05,14.9
2024-10-06,16.0
2024-10-07,16.5
2024-10-08,18.7
2024-10-09,18.4
2024-10-10,11.8
2024-10-11,11.2
2024-10-12,12.7
2024-10-13,13.1
2024-10-14,12.5
2024-10-15,15.9
2024-10-16,11.7
2024-10-17,14.5
2024-10-18,15.0
2024-10-19,17.4
2024-10-20,13.9
2024-10-21,15.2
2024-10-22,19.6
2024-10-23,17.6
2024-10-24,13.8
2024-10-25,13.8
2024-10-26,16.0
2024-10-27,16.1
2024-10-28,18.4
2024-10-29,19.4
2024-10-30,19.4
2024-10-31,20.3
2024-11-01,13.4
2024-11-02,12.7
2024-11-03,13.2
2024-11-04,12.2
2024-11-05,12.6
2024-11-06,12.8
2024-11-07,14.0
2024-11-08,12.4
2024-11-09,12.8
2024-11-10,11.5
2024-11-11,11.3
2024-11-12,15.6
2024-11-13,16.3
2024-11-14,13.6
2024-11-15,12.6
2024-11-16,12.3
2024-11-17,14.9
2024-11-18,18.9
2024-11-19,15.0
2024-11-20,17.5
2024-11-21,19.5
2024-11-22,16.3
2024-11-23,12.9
2024-11-24,14.9
2024-11-25,13.6
2024-11-26,14.0
2024-11-27,13.5
2024-11-28,14.4
2024-11-29,15.8
2024-11-30,15.6
2024-12-01,15.6
2024-12-02,13.5
2024-12-03,16.2
2024-12-04,17.4
2024-12-05,15.9
2024-12-06,16.0
2024-12-07,18.7
2024-12-08,15.0
2024-12-09,17.3
2024-12-10,16.4
2024-12-11,17.9
2024-12-12,18.4
2024-12-13,16.3
2024-12-14,19.1
2024-12-15,23.8
2024-12-16,23.6
2024-12-17,19.8
2024-12-18,17.2
2024-12-19,17.3
2024-12-20,15.7
2024-12-21,17.8
2024-12-22,18.0
2024-12-23,19.5
2024-12-24,20.3
2024-12-25,24.1
2024-12-26,22.7
2024-12-27,20.9
2024-12-28,22.3
2024-12-29,22.6
2024-12-30,15.2
2024-12-31,17.8
